Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
533208, 338.79, 2.27, 2.71, 2.16, 8.61, emami-paper-mills-ltd
530199, 393.46, 2.00, 10.95, 4.18, 12.89, themis-medicare-ltd
532719, 403.69, 1.27, 0.89, -12.14, 0.77, blkashyap-and-sons-ltd
518091, 406.96, 2.47, 15.55, 21.57, 27.86, anjani-portland-cement-ltd
504959, 436.40, --, 28.77, 19.26, 76.88, stovec-industries-ltd
523768, 437.21, 2.76, 6.50, 3.80, 3.22, gujarat-borosil-ltd
503101, 440.59, --, 9.70, 7.09, 2.64, marathon-nextgen-realty-ltd
532790, 447.53, --, --, --, 1.09, tanla-solutions-ltd
532637, 456.10, 2.42, 16.20, 20.91, 15.42, mangalam-drugs--organics-ltd
514010, 457.56, 2.14, 7.63, -6.43, 0.77, himachal-fibres-ltd
517330, 477.31, 0.92, 21.48, 17.56, 12.56, cmi-ltd
504879, 482.15, 0.16, 10.99, 7.92, 2.47, orient-abrasives-ltd
502137, 505.67, 0.65, 11.87, 8.11, 93.40, deccan-cements-ltd
500214, 514.16, 0.21, 18.36, 11.86, 34.73, ion-exchange-(india)-ltd
500117, 540.14, 1.23, 1.17, -1.07, 3.03, dcw-ltd
533168, 543.84, 0.28, 6.26, 2.47, 5.40, rossell-india-ltd
502168, 568.08, 1.05, 16.05, 5.98, 20.08, ncl-industries-ltd
509162, 585.11, --, 33.02, 25.45, 77.82, indag-rubber-ltd
513262, 594.80, 1.41, 9.38, 9.88, 70.51, steel-strips-wheels-ltd
517168, 600.79, 1.05, 9.09, 6.40, 22.80, subros-ltd
532864, 605.09, 0.29, 9.42, 7.79, 5.19, nelcast-ltd
533569, 689.49, 0.95, 9.75, 6.17, 9.67, srs-ltd
532660, 702.11, 1.59, 8.95, 5.07, 65.24, vivimed-labs-ltd
500136, 745.96, 1.27, 6.99, 1.46, 11.36, ester-industries-ltd
536170, 778.23, 1.05, 12.97, 7.99, 6.50, kushal-tradelink-ltd
519588, 818.64, 0.86, 32.04, 24.07, 30.96, dfm-foods-ltd
500730, 909.25, 0.30, 18.93, 13.72, 6.96, nocil-ltd
517080, 921.98, 0.01, 23.87, 15.41, 16.27, high-ground-enterprise-ltd
517518, 1014.04, 0.96, 13.76, 11.40, 63.77, lloyd-electric--engineering-ltd
533121, 1029.78, 0.09, 32.19, 21.78, 31.47, sqs-india-bfsi-limited
504741, 1073.10, 1.04, 18.31, 14.48, 45.29, indian-hume-pipe-coltd
532780, 1192.40, 0.45, 8.90, -3.38, 6.82, parsvnath-developers-ltd
